           33           33           33           33           33           33 
           33           33           33           33           33           33 
           33           33           33           33           33           32 
           32           32           32           32           32           32 
           32           32           31           31           31           31 
           31           30           30           30           29           29 
           28           28           27           26           25           25 
           24           23           22           21           20           19 
           18           17           16           15           14           13 
           13           12           12           11           11           10 
           10           10           10            9            9            9 
            9            8            8            8            8            8 
            8            7            7            7            7            7 
            7            7            7            6            6            6 
            6            6            5            5            5            5 
            4            4            4            3            3            2 
            2            2            2            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0
           33           33           33           33           33           33 
           33           33           33           33           33           33 
           33           33           33           33           33           33 
           32           32           32           32           32           32 
           32           32           32           31           31           31 
           31           30           30           30           29           29 
           28           28           27           26           26           25 
           24           23           22           21           20           19 
           18           17           16           15           14           14 
           13           12           12           11           11           11 
           10           10           10            9            9            9 
            9            8            8            8            8            8 
            8            7            7            7            7            7 
            7            7            7            6            6            6 
            6            6            5            5            5            5 
            4            4            4            3            3            2 
            2            2            2            2            0            0 
            0            0            0            0            0            0 
            0            0            0            0            0            0 
